[Arithmetic] Class-04 || Time and Work : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6352652989112/6352652989112.m3u8
[Arithmetic] Class-05 || Time and Work : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6352831990112/6352831990112.m3u8
[Arithmetic] Class-06 || Time and Work : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6352894182112/6352894182112.m3u8
[Arithmetic] Class-07 || Time and Work : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6352947756112/6352947756112.m3u8
[Arithmetic] Class-08 || Time and Work : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6353010018112/6353010018112.m3u8
[Arithmetic] Class-09 || Time and Work : https://www.youtube.com/embed/hGIyRldvUAw
[Arithmetic] Class-10 || Time and Work : https://www.youtube.com/embed/ScLoZu40WNU
[Arithmetic] Class-11 || Time and Work : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6353431150112/6353431150112.m3u8
[Arithmetic] Class-12 || Time and Work : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6359557318112/6359557318112.m3u8
[Arithmetic] Class-13 || Time and Work : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6353583503112/6353583503112.m3u8
[Arithmetic] Class-14 || Time and Work : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6353753642112/6353753642112.m3u8
[Arithmetic] Class-15 || Time and Work : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6353804847112/6353804847112.m3u8
[Arithmetic] Class-16 || Time and Work : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6353870081112/6353870081112.m3u8
[Arithmetic] Class-17 || Time and Work : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6353936310112/6353936310112.m3u8
[Arithmetic] Class-18 || Time and Work : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363728994112/6363728994112.m3u8
[Arithmetic] Class-19 || Time and Work : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6354103332112/6354103332112.m3u8
[Arithmetic] Class-20 || Time and Work : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6354205878112/6354205878112.m3u8
[Arithmetic] Class-21 || Time and Work : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6354732476112/6354732476112.m3u8
[Arithmetic] Class-22 || Time and Work : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6354860136112/6354860136112.m3u8
